last_name,first_name,height
Aaron,Hank,72
Aase,Don,75
Adams,Ace,70
Adcock,Joe,76
Agee,Tommie,71
Aguilera,Rick,76
Aguirre,Hank,76
Alexander,Doyle,75
Allen,Dick,71
Allen,Johnny,72
Alley,Gene,70
Allison,Bob,75
Alomar,Roberto,72
Alomar,Sandy,77
Alomar,Sandy,69
Alou,Felipe,72
Alou,Matty,69
Alou,Moises,75
Altman,George,76
Alvarez,Wilson,73
Alvis,Max,71
Anderson,Brady,73
Andrews,Mike,75
Andrews,Nate,72
Andujar,Joaquin,72
Antonelli,Johnny,73
Aparicio,Luis,69
Appier,Kevin,74
Appling,Luke,70
Armas,Tony,71
Armstrong,Jack,77
Arnovich,Morrie,70
Arrojo,Rolando,76
Arroyo,Luis,68
Ashburn,Richie,70
Ashby,Andy,73
Atwell,Toby,69
Ausmus,Brad,71
Averill,Earl,69
Avery,Steve,76
Avila,Bobby,70
Azcue,Joe,72
Baerga,Carlos,71
Bagby,Jim,74
Bagwell,Jeff,72
Bailey,Ed,74
Baines,Harold,74
Baker,Dusty,74
Baker,Gene,73
Bando,Sal,72
Banks,Ernie,73
Bannister,Floyd,73
Barber,Steve,72
Barfield,Jesse,73
Barker,Len,77
Barrett,Red,71
Bartell,Dick,69
Bass,Kevin,72
Battey,Earl,73
Bauer,Hank,72
Baylor,Don,73
Beck,Rod,73
Beckert,Glenn,73
Bedrosian,Steve,75
Belanger,Mark,73
Bell,Beau,74
Bell,Buddy,73
Bell,Gary,73
Bell,George,73
Bell,Gus,73
Bell,Jay,73
Belle,Albert,73
Bench,Johnny,73
Benedict,Bruce,73
Benes,Andy,78
Benton,Al,76
Bere,Jason,75
Berger,Wally,74
Berra,Yogi,67
Berry,Ken,72
Bibby,Jim,77
Bichette,Dante,75
Bickford,Vern,72
Biggio,Craig,71
Billingham,Jack,76
Blackwell,Ewell,78
Blair,Paul,72
Blanton,Cy,71
Blasingame,Don,70
Blass,Steve,72
Blauser,Jeff,72
Blue,Vida,72
Bluege,Ossie,71
Blyleven,Bert,75
Bochte,Bruce,75
Boddicker,Mike,71
Boggs,Wade,74
Bolling,Frank,73
Bonds,Barry,73
Bonds,Bobby,73
Bones,Ricky,70
Bonham,Tiny,74
Bonilla,Bobby,75
Boone,Bob,74
Boone,Bret,70
Boone,Ray,72
Borowy,Hank,72
Bottalico,Ricky,73
Bottenfield,Kent,75
Boudreau,Lou,71
Bouton,Jim,72
Bowa,Larry,70
Boyer,Ken,73
