last_name,first_name,age,country_death
Dahl,Jay,20.0,USA
Smalley,Will,20.0,USA
Williams,Gus,20.0,USA
Collver,Bill,21.0,USA
Smith,Bill,21.0,CAN
Weyhing,John,21.0,USA
Dignan,Steve,22.0,USA
Grossart,George,22.0,USA
Halliday,Newt,22.0,USA
Montgomery,Al,22.0,USA
Ritz,Jim,22.0,USA
Adenhart,Nick,23.0,USA
Bentley,Cy,23.0,USA
Cassidy,Joe,23.0,USA
Hubbs,Ken,23.0,USA
Hynes,Pat,23.0,USA
Sharman,Ralph,23.0,USA
Siefke,Fred,23.0,USA
White,Elmer,23.0,USA
Bechler,Steve,24.0,USA
Blaisdell,Dick,24.0,USA
Finlayson,Pembroke,24.0,USA
Gastall,Tom,24.0,USA
Lee,Tom,24.0,USA
Miley,Mike,24.0,USA
Puhl,John,24.0,USA
Rico,Art,24.0,USA
Somerville,Ed,24.0,CAN
Burr,Tom,25.0,France
Clark,Spider,25.0,USA
Ferguson,Charlie,25.0,USA
Gleason,Bill,25.0,USA
Grevell,Bill,25.0,USA
Hill,Herman,25.0,Venezuela
Kaiserling,George,25.0,USA
Korwan,Jim,25.0,USA
McGeehan,Connie,25.0,USA
McMahon,Jack,25.0,USA
O'Brien,Cinders,25.0,USA
Stenson,Dernell,25.0,USA
Sullivan,Chub,25.0,USA
Thorpe,Bob,25.0,USA
Wantz,Dick,25.0,USA
Agganis,Harry,26.0,USA
Ake,John,26.0,USA
Bergh,John,26.0,USA
Cahill,Tom,26.0,USA
Camp,Kid,26.0,USA
Corgan,Chuck,26.0,USA
Darr,Mike,26.0,USA
Egan,Jim,26.0,USA
Farrell,Jack,26.0,USA
Fitzgerald,John,26.0,USA
Graham,Bernie,26.0,USA
Leary,Frank,26.0,USA
Lerian,Walt,26.0,USA
LeRoy,John,26.0,USA
McCaffrey,Sparrow,26.0,USA
Miller,Tom,26.0,USA
Nealon,Joe,26.0,USA
Patterson,Clare,26.0,USA
Porter,Odie,26.0,USA
Prentiss,George,26.0,USA
Storke,Alan,26.0,USA
Terrell,Tom,26.0,USA
Vaughn,Roy,26.0,USA
Blair,Bill,27.0,USA
Chambers,Rome,27.0,USA
Crawford,Forrest,27.0,USA
DeSa,Joe,27.0,P.R.
Dodge,John,27.0,USA
Edmondson,Paul,27.0,USA
Evans,Chick,27.0,USA
Fogarty,Jim,27.0,USA
Gedeon,Elmer,27.0,France
Gillen,Tom,27.0,USA
Gladmon,Buck,27.0,USA
Greer,Ed,27.0,USA
Guth,Charlie,27.0,USA
Hodes,Charlie,27.0,USA
Leonard,Joe,27.0,USA
Macko,Steve,27.0,USA
McElroy,Jim,27.0,USA
McHenry,Austin,27.0,USA
McIlwain,Stover,27.0,USA
McJames,Doc,27.0,USA
Merritt,Herm,27.0,USA
Millard,Frank,27.0,USA
Moran,Sam,27.0,USA
Parrott,Jiggs,27.0,USA
Peete,Charlie,27.0,Venezuela
Quarles,Bill,27.0,USA
Reeder,Nick,27.0,USA
Sebring,Jimmy,27.0,USA
Sowders,Len,27.0,USA
Sullivan,Joe,27.0,USA
Taylor,Jack,27.0,USA
Thomas,Blaine,27.0,USA
Westerberg,Oscar,27.0,USA
Bligh,Ned,28.0,USA
Bostock,Lyman,28.0,USA
Carden,John,28.0,USA
Chappell,Larry,28.0,USA
Collins,Hub,28.0,USA
Corcoran,John,28.0,USA
Craig,George,28.0,USA
Cronin,Dan,28.0,USA
Cross,Amos,28.0,USA
Dean,Wayland,28.0,USA
Duffee,Charlie,28.0,USA
Gilroy,John,28.0,USA
Glenn,Harry,28.0,USA
Hafford,Leo,28.0,USA
Hall,Marc,28.0,USA
Hogg,Bill,28.0,USA
Jensen,Willie,28.0,USA
Kennedy,Joe,28.0,USA
McGinn,Frank,28.0,USA
McIntyre,Frank,28.0,USA
Morrissey,John,28.0,USA
O'Brien,Tom,28.0,USA
O'Neill,Harry,28.0,Japan
Olin,Steve,28.0,USA
Rogers,Jim,28.0,USA
Schulz,Walt,28.0,USA
Scott,Dick,28.0,USA
Smiley,Bill,28.0,USA
Snyder,Charles,28.0,USA
Treadaway,Ray,28.0,USA
Vinton,Bill,28.0,USA
Wilkinson,Ed,28.0,USA
Anderson,Dave,29.0,USA
Bedgood,Phil,29.0,USA
Bednar,Andy,29.0,USA
Bell,Bill,29.0,USA
Bell,Frank,29.0,USA
Bergen,Marty,29.0,USA
Chapman,Ray,29.0,USA
Christian,Bob,29.0,USA
Connors,Joe,29.0,USA
Croft,Art,29.0,USA
Crowson,Woody,29.0,USA
Daily,Ed,29.0,USA
Dillhoefer,Pickles,29.0,USA
Dowling,Pete,29.0,USA
