last_name,first_name,year_of_birth,name_of_team,year,teamWins,managerLosses
Galante,Matt,1944,Houston Astros,1999,59.8765,51.8519
Gonzalez,Mike,1890,St. Louis Cardinals,1940,53.8462,83.3333
Helms,Tommy,1941,Cincinnati Reds,1988,54.0373,55.5556
Howser,Dick,1936,New York Yankees,1978,61.3497,100.0000
Lemon,Bob,1920,New York Yankees,1981,55.1402,56.0000
Marion,Marty,1916,Chicago White Sox,1954,60.6452,66.6667
McMillan,Roy,1929,New York Mets,1975,50.6173,50.9434
Pesky,Johnny,1919,Boston Red Sox,1980,51.8750,80.0000
Piniella,Lou,1943,New York Yankees,1988,52.7950,51.6129
Riggleman,Jim,1952,San Diego Padres,1992,50.6173,66.6667
Sheehan,Tom,1894,San Francisco Giants,1960,50.6410,51.0204
Tebbetts,Birdie,1912,Milwaukee Braves,1961,53.5484,52.0000
