year,group,vote_count,vote_mean
2016,BBWAA,1,180.0000
2015,BBWAA,2,85.2000
2014,BBWAA,2,75.8000
2013,BBWAA,3,111.8182
2012,BBWAA,2,145.6000
2011,BBWAA,2,103.8000
2010,BBWAA,3,69.4000
2009,BBWAA,3,64.5000
2008,BBWAA,2,91.2000
2007,BBWAA,2,61.6000
2006,BBWAA,4,34.8261
2005,BBWAA,3,144.6923
2004,BBWAA,5,153.8125
2003,BBWAA,4,84.0000
2002,BBWAA,2,87.2000
2001,BBWAA,2,85.0000
2000,BBWAA,2,112.0000
1999,BBWAA,2,95.7500
1998,BBWAA,3,68.1667
1997,BBWAA,3,103.7027
1996,BBWAA,3,61.7297
1995,BBWAA,4,43.8367
1994,BBWAA,8,35.7571
1993,BBWAA,5,59.1818
1992,BBWAA,8,44.7353
1991,BBWAA,7,31.1333
1990,BBWAA,6,38.5806
1989,BBWAA,5,49.5263
1988,BBWAA,4,76.3514
1987,BBWAA,4,62.4054
1986,BBWAA,5,69.4103
1985,BBWAA,5,53.7632
1984,BBWAA,5,29.4242
1983,BBWAA,6,87.1864
1982,BBWAA,5,227.7955
1981,BBWAA,4,182.0714
1980,BBWAA,7,99.9310
1979,BBWAA,10,109.6207
1978,BBWAA,9,111.2321
1977,BBWAA,8,101.4444
1976,BBWAA,8,138.5333
1975,BBWAA,9,93.9014
1974,BBWAA,9,91.4571
1973,BBWAA,8,112.6780
1972,BBWAA,10,117.7500
1971,BBWAA,9,114.8333
1970,BBWAA,10,112.8889
1969,BBWAA,10,95.0123
1968,BBWAA,9,74.4915
1967,BBWAA,12,49.8621
1967,Run Off,9,23.7385
1966,BBWAA,13,59.1972
1964,BBWAA,10,33.0820
1964,Run Off,5,20.6500
1962,BBWAA,8,7.1064
1960,BBWAA,10,15.1833
1958,BBWAA,7,24.0588
1956,BBWAA,3,2.2143
1955,BBWAA,1,1.0000
1953,BBWAA,1,1.0000
1950,BBWAA,1,1.0000
1945,BBWAA,1,1.0000
